Experiment	Type	URL
SRX23379089	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/078/SRR27712678/SRR27712678_1.fastq.gz
SRX23379089	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/078/SRR27712678/SRR27712678_2.fastq.gz
SRX23379093	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/074/SRR27712674/SRR27712674_1.fastq.gz
SRX23379093	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/074/SRR27712674/SRR27712674_2.fastq.gz
SRX23379088	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/079/SRR27712679/SRR27712679_1.fastq.gz
SRX23379088	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/079/SRR27712679/SRR27712679_2.fastq.gz
SRX20377951	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR245/079/SRR24594579/SRR24594579_1.fastq.gz
SRX20377951	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR245/079/SRR24594579/SRR24594579_2.fastq.gz
SRX23379086	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/081/SRR27712681/SRR27712681_1.fastq.gz
SRX23379086	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/081/SRR27712681/SRR27712681_2.fastq.gz
SRX23379091	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/076/SRR27712676/SRR27712676_1.fastq.gz
SRX23379091	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/076/SRR27712676/SRR27712676_2.fastq.gz
SRX20377952	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR245/078/SRR24594578/SRR24594578_1.fastq.gz
SRX20377952	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR245/078/SRR24594578/SRR24594578_2.fastq.gz
SRX23379090	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/077/SRR27712677/SRR27712677_1.fastq.gz
SRX23379090	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/077/SRR27712677/SRR27712677_2.fastq.gz
SRX23379092	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/075/SRR27712675/SRR27712675_1.fastq.gz
SRX23379092	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/075/SRR27712675/SRR27712675_2.fastq.gz
SRX23379087	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/080/SRR27712680/SRR27712680_1.fastq.gz
SRX23379087	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/080/SRR27712680/SRR27712680_2.fastq.gz
SRX20377947	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR245/083/SRR24594583/SRR24594583_1.fastq.gz
SRX20377947	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR245/083/SRR24594583/SRR24594583_2.fastq.gz
SRX20377949	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR245/081/SRR24594581/SRR24594581_1.fastq.gz
SRX20377949	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR245/081/SRR24594581/SRR24594581_2.fastq.gz
SRX20377948	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR245/082/SRR24594582/SRR24594582_1.fastq.gz
SRX20377948	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR245/082/SRR24594582/SRR24594582_2.fastq.gz
SRX20377950	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR245/080/SRR24594580/SRR24594580_1.fastq.gz
SRX20377950	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR245/080/SRR24594580/SRR24594580_2.fastq.gz
SRX20377946	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR245/084/SRR24594584/SRR24594584_1.fastq.gz
SRX20377946	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR245/084/SRR24594584/SRR24594584_2.fastq.gz
SRX20377943	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR245/087/SRR24594587/SRR24594587_1.fastq.gz
SRX20377943	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR245/087/SRR24594587/SRR24594587_2.fastq.gz
SRX20377942	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR245/088/SRR24594588/SRR24594588_1.fastq.gz
SRX20377942	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR245/088/SRR24594588/SRR24594588_2.fastq.gz
SRX20377941	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR245/089/SRR24594589/SRR24594589_1.fastq.gz
SRX20377941	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR245/089/SRR24594589/SRR24594589_2.fastq.gz
SRX20377945	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR245/085/SRR24594585/SRR24594585_1.fastq.gz
SRX20377945	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR245/085/SRR24594585/SRR24594585_2.fastq.gz
SRX20377944	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR245/086/SRR24594586/SRR24594586_1.fastq.gz
SRX20377944	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR245/086/SRR24594586/SRR24594586_2.fastq.gz
SRX20377939	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR245/091/SRR24594591/SRR24594591_1.fastq.gz
SRX20377939	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR245/091/SRR24594591/SRR24594591_2.fastq.gz
SRX20377940	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR245/090/SRR24594590/SRR24594590_1.fastq.gz
SRX20377940	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR245/090/SRR24594590/SRR24594590_2.fastq.gz
SRX20377936	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR245/094/SRR24594594/SRR24594594_1.fastq.gz
SRX20377936	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR245/094/SRR24594594/SRR24594594_2.fastq.gz
SRX20377937	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR245/093/SRR24594593/SRR24594593_1.fastq.gz
SRX20377937	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR245/093/SRR24594593/SRR24594593_2.fastq.gz
SRX19523815	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR236/099/SRR23641199/SRR23641199_1.fastq.gz
SRX19523815	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR236/099/SRR23641199/SRR23641199_2.fastq.gz
SRX19523814	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR236/000/SRR23641200/SRR23641200_1.fastq.gz
SRX19523814	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR236/000/SRR23641200/SRR23641200_2.fastq.gz
SRX20377935	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR245/095/SRR24594595/SRR24594595_1.fastq.gz
SRX20377935	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR245/095/SRR24594595/SRR24594595_2.fastq.gz
SRX20377938	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR245/092/SRR24594592/SRR24594592_1.fastq.gz
SRX20377938	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR245/092/SRR24594592/SRR24594592_2.fastq.gz
SRX19523813	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR236/001/SRR23641201/SRR23641201_1.fastq.gz
SRX19523813	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR236/001/SRR23641201/SRR23641201_2.fastq.gz
SRX19523812	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR236/002/SRR23641202/SRR23641202_1.fastq.gz
SRX19523812	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR236/002/SRR23641202/SRR23641202_2.fastq.gz
SRX19523786	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR236/028/SRR23641228/SRR23641228_1.fastq.gz
SRX19523786	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR236/028/SRR23641228/SRR23641228_2.fastq.gz
SRX19523781	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR236/033/SRR23641233/SRR23641233_1.fastq.gz
SRX19523781	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR236/033/SRR23641233/SRR23641233_2.fastq.gz
