GenBank	RefSeq	UCSC	Ensembl	Gencode
CM000001.4	NC_006583.4	chr1	1	chr1
CM000002.4	NC_006584.4	chr2	2	chr2
CM000003.4	NC_006585.4	chr3	3	chr3
CM000004.4	NC_006586.4	chr4	4	chr4
CM000005.4	NC_006587.4	chr5	5	chr5
CM000006.4	NC_006588.4	chr6	6	chr6
CM000007.4	NC_006589.4	chr7	7	chr7
CM000008.4	NC_006590.4	chr8	8	chr8
CM000009.4	NC_006591.4	chr9	9	chr9
CM000010.4	NC_006592.4	chr10	10	chr10
CM000011.4	NC_006593.4	chr11	11	chr11
CM000012.4	NC_006594.4	chr12	12	chr12
CM000013.4	NC_006595.4	chr13	13	chr13
CM000014.4	NC_006596.4	chr14	14	chr14
CM000015.4	NC_006597.4	chr15	15	chr15
CM000016.4	NC_006598.4	chr16	16	chr16
CM000017.4	NC_006599.4	chr17	17	chr17
CM000018.4	NC_006600.4	chr18	18	chr18
CM000019.4	NC_006601.4	chr19	19	chr19
CM000020.4	NC_006602.4	chr20	20	chr20
CM000021.4	NC_006603.4	chr21	21	chr21
CM000022.4	NC_006604.4	chr22	22	chr22
CM000023.4	NC_006605.4	chr23	23	chr23
CM000024.4	NC_006606.4	chr24	24	chr24
CM000025.4	NC_006607.4	chr25	25	chr25
CM000026.4	NC_006608.4	chr26	26	chr26
CM000027.5	NC_006609.4	chr27	27	chr27
CM000028.4	NC_006610.4	chr28	28	chr28
CM000029.4	NC_006611.4	chr29	29	chr29
CM000030.4	NC_006612.4	chr30	30	chr30
CM000031.4	NC_006613.4	chr31	31	chr31
CM000032.5	NC_006614.4	chr32	32	chr32
CM000033.4	NC_006615.4	chr33	33	chr33
CM000034.4	NC_006616.4	chr34	34	chr34
CM000035.4	NC_006617.4	chr35	35	chr35
CM000036.4	NC_006618.4	chr36	36	chr36
CM000037.4	NC_006619.4	chr37	37	chr37
CM000038.4	NC_006620.4	chr38	38	chr38
CM000039.4	NC_006621.4	chrX	X	chrX
AAEX04000039.1	NW_023329752.1	chrUn_NW_023329752v1	AAEX04000039.1	AAEX04000039.1
AAEX04000040.1	NW_023329667.1	chrUn_NW_023329667v1	AAEX04000040.1	AAEX04000040.1
AAEX04000041.1	NW_023329727.1	chrUn_NW_023329727v1	AAEX04000041.1	AAEX04000041.1
AAEX04000042.1	NW_023329743.1	chrUn_NW_023329743v1	AAEX04000042.1	AAEX04000042.1
AAEX04000043.1	NW_023329744.1	chrUn_NW_023329744v1	AAEX04000043.1	AAEX04000043.1
AAEX04000044.1	NW_023329745.1	chrUn_NW_023329745v1	AAEX04000044.1	AAEX04000044.1
AAEX04000045.1	NW_023329746.1	chrUn_NW_023329746v1	AAEX04000045.1	AAEX04000045.1
AAEX04000046.1	NW_023329747.1	chrUn_NW_023329747v1	AAEX04000046.1	AAEX04000046.1
AAEX04000047.1	NW_023329748.1	chrUn_NW_023329748v1	AAEX04000047.1	AAEX04000047.1
AAEX04000048.1	NW_023329749.1	chrUn_NW_023329749v1	AAEX04000048.1	AAEX04000048.1
