Species,Common name,Species Taxonomy ID,Taxonomic Lineage,Assembly name,NCBI accession / source,contig N50 (bp),scaffold N50 (bp),reference
Acinonyx jubatus,cheetah,32536,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Feliformia; Felidae; Acinonychinae; Acinonyx,HLaciJub2,GCF_003709585.1,179924,48500042,human
Acomys cahirinus,Egyptian spiny mouse,10068,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Deomyinae; Acomys,HLacoCah1,GCA_004027535.1,42476,65411,human
Acomys cahirinus,Egyptian spiny mouse,10068,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Deomyinae; Acomys,HLacoCah2,https://zenodo.org/record/7761277#.ZEKxiRVBwsw,57643754,127770522,human
Acomys dimidiatus,Eastern spiny mouse,60744,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Deomyinae; Acomys,HLacoDim1,GCA_907164435.1,33040,124365287,human
Acomys russatus,golden spiny mouse,60746,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Deomyinae; Acomys,HLacoRus1,GCA_903995435.1,4450755,66475698,human
Aepyceros melampus,impala,9897,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Aepycerotinae; Aepyceros,HLaepMel1,GCA_006408695.1,82459,344542,human
Ailuropoda melanoleuca,giant panda,9646,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Ursidae; Ailuropoda,HLailMel2,GCA_002007445.2,127363,129245720,human
Ailurus fulgens,lesser panda,9649,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Ailuridae; Ailurus,HLailFul2,DNA Zoo Consortium,97931,143796361,human
Alces alces,Eurasian elk,9852,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Cervidae; Odocoileinae; Alces,HLalcAlc1,GCA_007570765.1,45090,4131188,human
Allactaga bullata,Gobi jerboa,1041416,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Dipodoidea; Dipodidae; Allactaginae; Allactaga,HLallBul1,GCA_004027895.1,30651,36308,human
