GenBank	RefSeq	UCSC	Ensembl	Gencode
CM000001.3	NC_006583.3	chr1	1	chr1
CM000002.3	NC_006584.3	chr2	2	chr2
CM000003.3	NC_006585.3	chr3	3	chr3
CM000004.3	NC_006586.3	chr4	4	chr4
CM000005.3	NC_006587.3	chr5	5	chr5
CM000006.3	NC_006588.3	chr6	6	chr6
CM000007.3	NC_006589.3	chr7	7	chr7
CM000008.3	NC_006590.3	chr8	8	chr8
CM000009.3	NC_006591.3	chr9	9	chr9
CM000010.3	NC_006592.3	chr10	10	chr10
CM000011.3	NC_006593.3	chr11	11	chr11
CM000012.3	NC_006594.3	chr12	12	chr12
CM000013.3	NC_006595.3	chr13	13	chr13
CM000014.3	NC_006596.3	chr14	14	chr14
CM000015.3	NC_006597.3	chr15	15	chr15
CM000016.3	NC_006598.3	chr16	16	chr16
CM000017.3	NC_006599.3	chr17	17	chr17
CM000018.3	NC_006600.3	chr18	18	chr18
CM000019.3	NC_006601.3	chr19	19	chr19
CM000020.3	NC_006602.3	chr20	20	chr20
CM000021.3	NC_006603.3	chr21	21	chr21
CM000022.3	NC_006604.3	chr22	22	chr22
CM000023.3	NC_006605.3	chr23	23	chr23
CM000024.3	NC_006606.3	chr24	24	chr24
CM000025.3	NC_006607.3	chr25	25	chr25
CM000026.3	NC_006608.3	chr26	26	chr26
CM000027.3	NC_006609.3	chr27	27	chr27
CM000028.3	NC_006610.3	chr28	28	chr28
CM000029.3	NC_006611.3	chr29	29	chr29
CM000030.3	NC_006612.3	chr30	30	chr30
CM000031.3	NC_006613.3	chr31	31	chr31
CM000032.3	NC_006614.3	chr32	32	chr32
CM000033.3	NC_006615.3	chr33	33	chr33
CM000034.3	NC_006616.3	chr34	34	chr34
CM000035.3	NC_006617.3	chr35	35	chr35
CM000036.3	NC_006618.3	chr36	36	chr36
CM000037.3	NC_006619.3	chr37	37	chr37
CM000038.3	NC_006620.3	chr38	38	chr38
CM000039.3	NC_006621.3	chrX	X	chrX
AAEX03018827.1	NW_003726146.1	chrUn_AAEX03018827	AAEX03018827.1	AAEX03018827.1
AAEX03019065.1	NW_003726173.1	chrUn_AAEX03019065	AAEX03019065.1	AAEX03019065.1
AAEX03019090.1	NW_003726176.1	chrUn_AAEX03019090	AAEX03019090.1	AAEX03019090.1
AAEX03019097.1	NW_003726178.1	chrUn_AAEX03019097	AAEX03019097.1	AAEX03019097.1
AAEX03019222.1	NW_003726196.1	chrUn_AAEX03019222	AAEX03019222.1	AAEX03019222.1
AAEX03019231.1	NW_003726198.1	chrUn_AAEX03019231	AAEX03019231.1	AAEX03019231.1
AAEX03019240.1	NW_003726201.1	chrUn_AAEX03019240	AAEX03019240.1	AAEX03019240.1
AAEX03019241.1	NW_003726202.1	chrUn_AAEX03019241	AAEX03019241.1	AAEX03019241.1
AAEX03019307.1	NW_003726210.1	chrUn_AAEX03019307	AAEX03019307.1	AAEX03019307.1
AAEX03019339.1	NW_003726217.1	chrUn_AAEX03019339	AAEX03019339.1	AAEX03019339.1
AAEX03019340.1	NW_003726218.1	chrUn_AAEX03019340	AAEX03019340.1	AAEX03019340.1
AAEX03019341.1	NW_003726219.1	chrUn_AAEX03019341	AAEX03019341.1	AAEX03019341.1
AAEX03019443.1	NW_003726233.1	chrUn_AAEX03019443	AAEX03019443.1	AAEX03019443.1
AAEX03019490.1	NW_003726238.1	chrUn_AAEX03019490	AAEX03019490.1	AAEX03019490.1
AAEX03019491.1	NW_003726239.1	chrUn_AAEX03019491	AAEX03019491.1	AAEX03019491.1
AAEX03019492.1	NW_003726240.1	chrUn_AAEX03019492	AAEX03019492.1	AAEX03019492.1
AAEX03019535.1	NW_003726245.1	chrUn_AAEX03019535	AAEX03019535.1	AAEX03019535.1
AAEX03019548.1	NW_003726247.1	chrUn_AAEX03019548	AAEX03019548.1	AAEX03019548.1
AAEX03019560.1	NW_003726249.1	chrUn_AAEX03019560	AAEX03019560.1	AAEX03019560.1
AAEX03019681.1	NW_003726266.1	chrUn_AAEX03019681	AAEX03019681.1	AAEX03019681.1
AAEX03019691.1	NW_003726268.1	chrUn_AAEX03019691	AAEX03019691.1	AAEX03019691.1
AAEX03019738.1	NW_003726274.1	chrUn_AAEX03019738	AAEX03019738.1	AAEX03019738.1
AAEX03019763.1	NW_003726279.1	chrUn_AAEX03019763	AAEX03019763.1	AAEX03019763.1
AAEX03019872.1	NW_003726299.1	chrUn_AAEX03019872	AAEX03019872.1	AAEX03019872.1
AAEX03019893.1	NW_003726303.1	chrUn_AAEX03019893	AAEX03019893.1	AAEX03019893.1
AAEX03019987.1	NW_003726315.1	chrUn_AAEX03019987	AAEX03019987.1	AAEX03019987.1
AAEX03020051.1	NW_003726322.1	chrUn_AAEX03020051	AAEX03020051.1	AAEX03020051.1
AAEX03020054.1	NW_003726324.1	chrUn_AAEX03020054	AAEX03020054.1	AAEX03020054.1
AAEX03020055.1	NW_003726325.1	chrUn_AAEX03020055	AAEX03020055.1	AAEX03020055.1
AAEX03020056.1	NW_003726326.1	chrUn_AAEX03020056	AAEX03020056.1	AAEX03020056.1
AAEX03020060.1	NW_003726328.1	chrUn_AAEX03020060	AAEX03020060.1	AAEX03020060.1
AAEX03020068.1	NW_003726331.1	chrUn_AAEX03020068	AAEX03020068.1	AAEX03020068.1
AAEX03020105.1	NW_003726336.1	chrUn_AAEX03020105	AAEX03020105.1	AAEX03020105.1
AAEX03020144.1	NW_003726341.1	chrUn_AAEX03020144	AAEX03020144.1	AAEX03020144.1
AAEX03020161.1	NW_003726344.1	chrUn_AAEX03020161	AAEX03020161.1	AAEX03020161.1
AAEX03020170.1	NW_003726347.1	chrUn_AAEX03020170	AAEX03020170.1	AAEX03020170.1
AAEX03020242.1	NW_003726355.1	chrUn_AAEX03020242	AAEX03020242.1	AAEX03020242.1
AAEX03020251.1	NW_003726357.1	chrUn_AAEX03020251	AAEX03020251.1	AAEX03020251.1
AAEX03020335.1	NW_003726370.1	chrUn_AAEX03020335	AAEX03020335.1	AAEX03020335.1
AAEX03020381.1	NW_003726376.1	chrUn_AAEX03020381	AAEX03020381.1	AAEX03020381.1
AAEX03020403.1	NW_003726378.1	chrUn_AAEX03020403	AAEX03020403.1	AAEX03020403.1
AAEX03020427.1	NW_003726382.1	chrUn_AAEX03020427	AAEX03020427.1	AAEX03020427.1
AAEX03020436.1	NW_003726385.1	chrUn_AAEX03020436	AAEX03020436.1	AAEX03020436.1
AAEX03020482.1	NW_003726392.1	chrUn_AAEX03020482	AAEX03020482.1	AAEX03020482.1
AAEX03020487.1	NW_003726395.1	chrUn_AAEX03020487	AAEX03020487.1	AAEX03020487.1
AAEX03020497.1	NW_003726398.1	chrUn_AAEX03020497	AAEX03020497.1	AAEX03020497.1
AAEX03020524.1	NW_003726404.1	chrUn_AAEX03020524	AAEX03020524.1	AAEX03020524.1
AAEX03020525.1	NW_003726405.1	chrUn_AAEX03020525	AAEX03020525.1	AAEX03020525.1
AAEX03020533.1	NW_003726408.1	chrUn_AAEX03020533	AAEX03020533.1	AAEX03020533.1
AAEX03020568.1	NW_003726412.1	chrUn_AAEX03020568	AAEX03020568.1	AAEX03020568.1
AAEX03020574.1	NW_003726415.1	chrUn_AAEX03020574	AAEX03020574.1	AAEX03020574.1
AAEX03020588.1	NW_003726418.1	chrUn_AAEX03020588	AAEX03020588.1	AAEX03020588.1
AAEX03020610.1	NW_003726421.1	chrUn_AAEX03020610	AAEX03020610.1	AAEX03020610.1
AAEX03020671.1	NW_003726427.1	chrUn_AAEX03020671	AAEX03020671.1	AAEX03020671.1
AAEX03020700.1	NW_003726433.1	chrUn_AAEX03020700	AAEX03020700.1	AAEX03020700.1
AAEX03020701.1	NW_003726434.1	chrUn_AAEX03020701	AAEX03020701.1	AAEX03020701.1
AAEX03020729.1	NW_003726440.1	chrUn_AAEX03020729	AAEX03020729.1	AAEX03020729.1
AAEX03020760.1	NW_003726448.1	chrUn_AAEX03020760	AAEX03020760.1	AAEX03020760.1
AAEX03020761.1	NW_003726449.1	chrUn_AAEX03020761	AAEX03020761.1	AAEX03020761.1
AAEX03020831.1	NW_003726459.1	chrUn_AAEX03020831	AAEX03020831.1	AAEX03020831.1
AAEX03020839.1	NW_003726462.1	chrUn_AAEX03020839	AAEX03020839.1	AAEX03020839.1
AAEX03020840.1	NW_003726463.1	chrUn_AAEX03020840	AAEX03020840.1	AAEX03020840.1
AAEX03020896.1	NW_003726472.1	chrUn_AAEX03020896	AAEX03020896.1	AAEX03020896.1
AAEX03020910.1	NW_003726475.1	chrUn_AAEX03020910	AAEX03020910.1	AAEX03020910.1
AAEX03020926.1	NW_003726478.1	chrUn_AAEX03020926	AAEX03020926.1	AAEX03020926.1
AAEX03020959.1	NW_003726481.1	chrUn_AAEX03020959	AAEX03020959.1	AAEX03020959.1
AAEX03020963.1	NW_003726483.1	chrUn_AAEX03020963	AAEX03020963.1	AAEX03020963.1
AAEX03020982.1	NW_003726487.1	chrUn_AAEX03020982	AAEX03020982.1	AAEX03020982.1
AAEX03020983.1	NW_003726488.1	chrUn_AAEX03020983	AAEX03020983.1	AAEX03020983.1
